sep=,
type,sourceName,sourceVersion,productType,device,startDate,endDate,unit,value,HKMetadataKeyBarometricPressure
HKQuantityTypeIdentifierOxygenSaturation,Teja’s Apple Watch,11.6,"Watch6,15","<<HKDevice: 0x1120f0ba0>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch6,15, software:11.6, creation date:2025-08-02 13:42:36 +0000>",2025-09-13 03:48:29 +0000,2025-09-13 03:48:29 +0000,%,1.0,99.1725 kPa
HKQuantityTypeIdentifierOxygenSaturation,Teja’s Apple Watch,11.6,"Watch6,15","<<HKDevice: 0x1120f0ba0>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch6,15, software:11.6, creation date:2025-08-02 13:42:36 +0000>",2025-09-13 08:42:40 +0000,2025-09-13 08:42:40 +0000,%,0.97,99.5076 kPa
HKQuantityTypeIdentifierOxygenSaturation,Teja’s Apple Watch,11.6,"Watch6,15","<<HKDevice: 0x1120f0ba0>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch6,15, software:11.6, creation date:2025-08-02 13:42:36 +0000>",2025-09-13 09:16:41 +0000,2025-09-13 09:16:41 +0000,%,0.97,99.5179 kPa
HKQuantityTypeIdentifierOxygenSaturation,Teja’s Apple Watch,11.6,"Watch6,15","<<HKDevice: 0x1120f0ba0>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch6,15, software:11.6, creation date:2025-08-02 13:42:36 +0000>",2025-09-13 09:59:07 +0000,2025-09-13 09:59:07 +0000,%,0.99,99.526 kPa
HKQuantityTypeIdentifierOxygenSaturation,Teja’s Apple Watch,11.6,"Watch6,15","<<HKDevice: 0x1120f0ba0>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch6,15, software:11.6, creation date:2025-08-02 13:42:36 +0000>",2025-09-13 10:29:08 +0000,2025-09-13 10:29:08 +0000,%,0.96,99.53 kPa
HKQuantityTypeIdentifierOxygenSaturation,Teja’s Apple Watch,11.6,"Watch6,15","<<HKDevice: 0x1120f0ba0>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch6,15, software:11.6, creation date:2025-08-02 13:42:36 +0000>",2025-09-13 11:22:48 +0000,2025-09-13 11:22:48 +0000,%,0.94,99.57 kPa
HKQuantityTypeIdentifierOxygenSaturation,Teja’s Apple Watch,11.6,"Watch6,15","<<HKDevice: 0x1120f0ba0>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch6,15, software:11.6, creation date:2025-08-02 13:42:36 +0000>",2025-09-13 11:52:49 +0000,2025-09-13 11:52:49 +0000,%,0.96,99.6125 kPa
HKQuantityTypeIdentifierOxygenSaturation,Teja’s Apple Watch,11.6,"Watch6,15","<<HKDevice: 0x1120f0ba0>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch6,15, software:11.6, creation date:2025-08-02 13:42:36 +0000>",2025-09-13 12:24:48 +0000,2025-09-13 12:24:48 +0000,%,0.97,99.6196 kPa
HKQuantityTypeIdentifierOxygenSaturation,Teja’s Apple Watch,11.6,"Watch6,15","<<HKDevice: 0x1120f0ba0>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch6,15, software:11.6, creation date:2025-08-02 13:42:36 +0000>",2025-09-13 12:55:03 +0000,2025-09-13 12:55:03 +0000,%,0.99,99.634 kPa
HKQuantityTypeIdentifierOxygenSaturation,Teja’s Apple Watch,11.6,"Watch6,15","<<HKDevice: 0x1120f0ba0>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch6,15, software:11.6, creation date:2025-08-02 13:42:36 +0000>",2025-09-13 13:28:07 +0000,2025-09-13 13:28:07 +0000,%,0.99,99.6477 kPa
HKQuantityTypeIdentifierOxygenSaturation,Teja’s Apple Watch,11.6,"Watch6,15","<<HKDevice: 0x1120f0ba0>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch6,15, software:11.6, creation date:2025-08-02 13:42:36 +0000>",2025-09-13 13:58:12 +0000,2025-09-13 13:58:12 +0000,%,1.0,99.6562 kPa
