sep=,
type,sourceName,sourceVersion,productType,device,startDate,endDate,unit,value,HKAlgorithmVersion
HKQuantityTypeIdentifierHeartRateVariabilitySDNN,Teja’s Apple Watch,11.6,"Watch6,15","<<HKDevice: 0x1120f0a80>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch6,15, software:11.6, creation date:2025-08-02 13:42:36 +0000>",2025-09-14 15:40:09 +0000,2025-09-14 15:41:09 +0000,ms,27.752958353072195,2
HKQuantityTypeIdentifierHeartRateVariabilitySDNN,Teja’s Apple Watch,11.6,"Watch6,15","<<HKDevice: 0x1120f0a80>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch6,15, software:11.6, creation date:2025-08-02 13:42:36 +0000>",2025-09-14 22:03:45 +0000,2025-09-14 22:04:33 +0000,ms,63.335836243693535,2
HKQuantityTypeIdentifierHeartRateVariabilitySDNN,Teja’s Apple Watch,11.6,"Watch6,15","<<HKDevice: 0x1120f0a80>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch6,15, software:11.6, creation date:2025-08-02 13:42:36 +0000>",2025-09-15 00:18:32 +0000,2025-09-15 00:19:23 +0000,ms,31.32998314139519,2
HKQuantityTypeIdentifierHeartRateVariabilitySDNN,Teja’s Apple Watch,11.6,"Watch6,15","<<HKDevice: 0x1120f0a80>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch6,15, software:11.6, creation date:2025-08-02 13:42:36 +0000>",2025-09-15 03:00:32 +0000,2025-09-15 03:01:31 +0000,ms,50.65559489510894,2
HKQuantityTypeIdentifierHeartRateVariabilitySDNN,Teja’s Apple Watch,11.6,"Watch6,15","<<HKDevice: 0x1120f0a80>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch6,15, software:11.6, creation date:2025-08-02 13:42:36 +0000>",2025-09-15 05:41:11 +0000,2025-09-15 05:42:06 +0000,ms,102.66056943765386,2
HKQuantityTypeIdentifierHeartRateVariabilitySDNN,Teja’s Apple Watch,11.6,"Watch6,15","<<HKDevice: 0x1120f0a80>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch6,15, software:11.6, creation date:2025-08-02 13:42:36 +0000>",2025-09-15 07:40:16 +0000,2025-09-15 07:41:15 +0000,ms,32.49588625757847,2
HKQuantityTypeIdentifierHeartRateVariabilitySDNN,Teja’s Apple Watch,11.6,"Watch6,15","<<HKDevice: 0x1120f0a80>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch6,15, software:11.6, creation date:2025-08-02 13:42:36 +0000>",2025-09-15 09:40:12 +0000,2025-09-15 09:41:11 +0000,ms,39.26685996666729,2
HKQuantityTypeIdentifierHeartRateVariabilitySDNN,Teja’s Apple Watch,11.6,"Watch6,15","<<HKDevice: 0x1120f0a80>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch6,15, software:11.6, creation date:2025-08-02 13:42:36 +0000>",2025-09-15 11:40:13 +0000,2025-09-15 11:41:13 +0000,ms,76.3343484315517,2
HKQuantityTypeIdentifierHeartRateVariabilitySDNN,Teja’s Apple Watch,11.6,"Watch6,15","<<HKDevice: 0x1120f0a80>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch6,15, software:11.6, creation date:2025-08-02 13:42:36 +0000>",2025-09-15 13:40:13 +0000,2025-09-15 13:41:13 +0000,ms,46.0832617766914,2
HKQuantityTypeIdentifierHeartRateVariabilitySDNN,Teja’s Apple Watch,11.6,"Watch6,15","<<HKDevice: 0x1120f0a80>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch6,15, software:11.6, creation date:2025-08-02 13:42:36 +0000>",2025-09-15 15:41:32 +0000,2025-09-15 15:42:25 +0000,ms,43.431251010344496,2
HKQuantityTypeIdentifierHeartRateVariabilitySDNN,Teja’s Apple Watch,11.6,"Watch6,15","<<HKDevice: 0x1120f0a80>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch6,15, software:11.6, creation date:2025-08-02 13:42:36 +0000>",2025-09-15 17:42:48 +0000,2025-09-15 17:43:48 +0000,ms,91.44138191197455,2
HKQuantityTypeIdentifierHeartRateVariabilitySDNN,Teja’s Apple Watch,11.6,"Watch6,15","<<HKDevice: 0x1120f0a80>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch6,15, software:11.6, creation date:2025-08-02 13:42:36 +0000>",2025-09-15 19:40:11 +0000,2025-09-15 19:41:11 +0000,ms,41.81216883797593,2
HKQuantityTypeIdentifierHeartRateVariabilitySDNN,Teja’s Apple Watch,11.6,"Watch6,15","<<HKDevice: 0x1120f0a80>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch6,15, software:11.6, creation date:2025-08-02 13:42:36 +0000>",2025-09-16 00:55:01 +0000,2025-09-16 00:55:57 +0000,ms,94.93426413042015,2
HKQuantityTypeIdentifierHeartRateVariabilitySDNN,Teja’s Apple Watch,11.6,"Watch6,15","<<HKDevice: 0x1120f0a80>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch6,15, software:11.6, creation date:2025-08-02 13:42:36 +0000>",2025-09-16 02:24:21 +0000,2025-09-16 02:24:58 +0000,ms,132.48954736840224,2
HKQuantityTypeIdentifierHeartRateVariabilitySDNN,Teja’s Apple Watch,11.6,"Watch6,15","<<HKDevice: 0x1120f0a80>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch6,15, software:11.6, creation date:2025-08-02 13:42:36 +0000>",2025-09-16 05:40:13 +0000,2025-09-16 05:41:13 +0000,ms,80.39822693347446,2
HKQuantityTypeIdentifierHeartRateVariabilitySDNN,Teja’s Apple Watch,11.6,"Watch6,15","<<HKDevice: 0x1120f0a80>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch6,15, software:11.6, creation date:2025-08-02 13:42:36 +0000>",2025-09-16 07:40:15 +0000,2025-09-16 07:41:14 +0000,ms,36.62975035728036,2
HKQuantityTypeIdentifierHeartRateVariabilitySDNN,Teja’s Apple Watch,11.6,"Watch6,15","<<HKDevice: 0x1120f0a80>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch6,15, software:11.6, creation date:2025-08-02 13:42:36 +0000>",2025-09-16 09:40:13 +0000,2025-09-16 09:41:13 +0000,ms,61.07596776613811,2
HKQuantityTypeIdentifierHeartRateVariabilitySDNN,Teja’s Apple Watch,11.6,"Watch6,15","<<HKDevice: 0x1120f0a80>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch6,15, software:11.6, creation date:2025-08-02 13:42:36 +0000>",2025-09-16 13:41:07 +0000,2025-09-16 13:41:45 +0000,ms,29.482366733372707,2
HKQuantityTypeIdentifierHeartRateVariabilitySDNN,Teja’s Apple Watch,11.6,"Watch6,15","<<HKDevice: 0x1120f0a80>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch6,15, software:11.6, creation date:2025-08-02 13:42:36 +0000>",2025-09-17 01:07:28 +0000,2025-09-17 01:08:25 +0000,ms,26.116990296033478,2
HKQuantityTypeIdentifierHeartRateVariabilitySDNN,Teja’s Apple Watch,11.6,"Watch6,15","<<HKDevice: 0x1120f0a80>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch6,15, software:11.6, creation date:2025-08-02 13:42:36 +0000>",2025-09-17 01:08:33 +0000,2025-09-17 01:09:33 +0000,ms,37.52839522387362,2
HKQuantityTypeIdentifierHeartRateVariabilitySDNN,Teja’s Apple Watch,11.6,"Watch6,15","<<HKDevice: 0x1120f0a80>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch6,15, software:11.6, creation date:2025-08-02 13:42:36 +0000>",2025-09-17 03:09:40 +0000,2025-09-17 03:10:35 +0000,ms,31.201700499827485,2
